t,gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
66,111,False,False,1,4,"['2', '1', '2', '2', '2']","[[32, ('src', 'vnf2')], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, None], [62, 'dst']]","[[32, ('src', 'vnf2')], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2']]",0,113.73826838451902,3,23,10,149.73826838451902
66,112,False,False,14,10,"['2', '1', '1', '1', '1']","[[56, 'src'], [1, None], [2, None], [3, 'vnf2'], [4, None], [5, None], [6, None], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [8, None], [9, None], [10, None], [0, None], [1, None], [12, 'dst']]","[[56, 'src'], [1, None], [2, None], [3, 'vnf2'], [4, None], [5, None], [6, None], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1']]",0,96.2490399682975,5,24,7,132.2490399682975
66,113,True,False,9,13,"['1', '1', '2', '2', '2']","[[60, ('src', 'vnf1')], [60, 'vnf1'], [5, None], [4, None], [3, None], [2, None], [1, None], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [1, None], [2, None], [3, None], [4, None], [59, None], [48, None], [47, None], [46, None], [45, 'dst']]","[[60, ('src', 'vnf1')], [60, 'vnf1'], [5, None], [4, None], [3, None], [2, None], [1, None], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [1, None], [2, None], [3, None], [4, None], [59, None], [48, None], [47, None], [46, None], [45, 'dst']]",0,172.1428093775446,5,1,15,193.1428093775446
66,114,False,False,4,3,"['2', '2', '1', '1', '2']","[[64, 'src'], [9, None], [8, None], [19, None], [20, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [31, None], [30, None], [41, None], [42, None], [53, 'dst']]","[[64, 'src'], [9, None], [8, None], [19, None], [20, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [7, 'vnf1']]",0,96.01944719122051,4,19,11,130.0194471912205
66,115,False,False,6,12,"['2', '1', '2', '1', '2']","[[28, 'src'], [29, None], [30, None], [31, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [31, None], [42, None], [43, None], [33, None], [34, 'dst']]","[[28, 'src'], [29, None], [30, None], [31, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None]]",0,156.44792276169412,2,22,14,194.44792276169412
66,116,False,False,5,6,"['2', '1', '1', '1', '2']","[[0, ('src', 'vnf2')], [10, None], [9, None], [8, None], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [31, None], [30, None], [29, None], [28, None], [27, 'dst']]","[[0, ('src', 'vnf2')], [10, None], [9, None], [8, None], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1']]",0,45.01012788035905,4,24,4,77.01012788035905
66,117,True,False,7,8,"['2', '2', '1', '2', '2']","[[38, 'src'], [39, None], [40, None], [41, None], [42, None], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, None], [50, 'dst']]","[[38, 'src'], [39, None], [40, None], [41, None], [42, None], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, None], [50, 'dst']]",0,146.29062284821538,5,13,12,176.29062284821538
66,118,False,False,0,3,"['2', '1', '1', '2', '1']","[[7, 'src'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [65, None], [54, None], [53, None], [52, 'dst']]","[[7, 'src'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1']]",0,113.73826838451902,2,21,10,146.73826838451902
66,119,True,False,14,10,"['1', '1', '2', '1', '1']","[[57, ('src', 'vnf1')], [57, 'vnf1'], [2, None], [3, 'vnf2'], [4, None], [5, None], [6, None], [7, 'vnf1'], [7, 'vnf1'], [6, None], [5, None], [4, None], [3, None], [2, None], [13, 'dst']]","[[57, ('src', 'vnf1')], [57, 'vnf1'], [2, None], [3, 'vnf2'], [4, None], [5, None], [6, None], [7, 'vnf1'], [7, 'vnf1'], [6, None], [5, None], [4, None], [3, None], [2, None], [13, 'dst']]",0,140.46889614349422,5,8,12,165.46889614349422
66,120,True,False,8,9,"['2', '1', '2', '2', '1']","[[49, ('src', 'vnf2')], [50, None], [51, None], [52, None], [53, None], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [53, None], [52, None], [63, None], [62, None], [61, None], [60, 'dst']]","[[49, ('src', 'vnf2')], [50, None], [51, None], [52, None], [53, None], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [53, None], [52, None], [63, None], [62, None], [61, None], [60, 'dst']]",0,158.17293900077271,5,13,13,189.17293900077271
