t,gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
35,38,True,False,0,7,"['2', '1', '1', '2', '2']","[[7, 'src'], [6, None], [5, None], [4, None], [3, 'vnf2'], [2, None], [57, 'vnf1'], [57, 'vnf1'], [46, None], [35, None], [34, 'vnf2'], [34, 'vnf2'], [33, 'dst']]","[[7, 'src'], [6, None], [5, None], [4, None], [3, 'vnf2'], [2, None], [57, 'vnf1'], [57, 'vnf1'], [46, None], [35, None], [34, 'vnf2'], [34, 'vnf2'], [33, 'dst']]",0,110.27017229075913,5,4,10,129.27017229075915
35,39,True,False,13,4,"['2', '1', '1', '2', '1']","[[45, 'src'], [34, 'vnf2'], [33, 'vnf1'], [33, 'vnf1'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, None], [62, ('dst', 'vnf1')]]","[[45, 'src'], [34, 'vnf2'], [33, 'vnf1'], [33, 'vnf1'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, None], [62, ('dst', 'vnf1')]]",0,98.2778430824207,4,2,8,112.2778430824207
35,40,True,False,14,12,"['2', '1', '1', '1', '2']","[[56, 'src'], [1, None], [12, None], [23, 'vnf2'], [22, None], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [34, ('dst', 'vnf2')]]","[[56, 'src'], [1, None], [12, None], [23, 'vnf2'], [22, None], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [34, ('dst', 'vnf2')]]",0,110.42970961792253,4,0,6,120.42970961792253
35,41,True,False,12,3,"['2', '1', '1', '1', '2']","[[34, ('src', 'vnf2')], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, 'dst']]","[[34, ('src', 'vnf2')], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, 'dst']]",0,73.5926647393042,5,1,6,85.5926647393042
35,42,True,False,0,11,"['2', '2', '2', '2', '1']","[[7, 'src'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [31, None], [30, None], [29, None], [28, None], [27, 'vnf1'], [26, None], [25, None], [24, None], [23, 'dst']]","[[7, 'src'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [31, None], [30, None], [29, None], [28, None], [27, 'vnf1'], [26, None], [25, None], [24, None], [23, 'dst']]",0,162.71821386962924,5,1,14,182.71821386962924
35,43,True,False,2,13,"['1', '2', '1', '1', '2']","[[40, 'src'], [29, None], [28, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [60, 'vnf1'], [60, 'vnf1'], [49, None], [48, ('dst', 'vnf2')]]","[[40, 'src'], [29, None], [28, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [60, 'vnf1'], [60, 'vnf1'], [49, None], [48, ('dst', 'vnf2')]]",0,150.28617295466057,4,1,8,163.28617295466057
35,44,True,False,4,0,"['2', '2', '1', '1', '1']","[[62, 'src'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [61, None], [62, 'vnf1'], [62, 'vnf1'], [7, 'dst']]","[[62, 'src'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [61, None], [62, 'vnf1'], [62, 'vnf1'], [7, 'dst']]",0,114.97894076643796,5,0,7,126.97894076643796
35,45,True,False,0,8,"['2', '1', '1', '1', '2']","[[7, 'src'], [62, None], [51, None], [50, None], [49, 'vnf2'], [38, None], [27, 'vnf1'], [27, 'vnf1'], [27, 'vnf1'], [38, None], [49, ('dst', 'vnf2')]]","[[7, 'src'], [62, None], [51, None], [50, None], [49, 'vnf2'], [38, None], [27, 'vnf1'], [27, 'vnf1'], [27, 'vnf1'], [38, None], [49, ('dst', 'vnf2')]]",0,141.86173662967417,4,2,8,155.86173662967417
35,46,True,False,11,4,"['1', '2', '1', '2', '1']","[[23, 'src'], [24, None], [25, None], [26, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [38, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [60, 'vnf1'], [61, None], [62, 'dst']]","[[23, 'src'], [24, None], [25, None], [26, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [38, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [60, 'vnf1'], [61, None], [62, 'dst']]",0,231.37958060270398,5,1,13,250.37958060270398
35,47,True,False,1,3,"['1', '1', '2', '1', '2']","[[29, 'src'], [28, None], [27, 'vnf1'], [27, 'vnf1'], [38, None], [49, 'vnf2'], [38, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [50, None], [51, 'dst']]","[[29, 'src'], [28, None], [27, 'vnf1'], [27, 'vnf1'], [38, None], [49, 'vnf2'], [38, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [50, None], [51, 'dst']]",0,204.8976747800456,5,2,10,221.8976747800456
35,48,True,False,0,14,"['1', '2', '2', '2', '2']","[[7, 'src'], [62, 'vnf1'], [51, None], [50, None], [49, None], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]","[[7, 'src'], [62, 'vnf1'], [51, None], [50, None], [49, None], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]",0,114.1066669990724,5,0,9,128.1066669990724
35,49,True,False,7,8,"['1', '1', '1', '1', '1']","[[33, 'src'], [43, None], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [44, 'dst']]","[[33, 'src'], [43, None], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [44, 'dst']]",0,55.0638115148445,5,1,3,64.0638115148445
35,50,True,False,12,3,"['1', '1', '2', '2', '1']","[[34, 'src'], [35, None], [46, None], [57, 'vnf1'], [57, 'vnf1'], [2, None], [1, None], [0, 'vnf2'], [0, 'vnf2'], [10, None], [65, None], [54, ('dst', 'vnf1')]]","[[34, 'src'], [35, None], [46, None], [57, 'vnf1'], [57, 'vnf1'], [2, None], [1, None], [0, 'vnf2'], [0, 'vnf2'], [10, None], [65, None], [54, ('dst', 'vnf1')]]",0,108.20958682460451,4,2,9,123.20958682460451
35,51,True,False,8,14,"['1', '1', '2', '1', '2']","[[44, 'src'], [45, None], [46, None], [47, None], [48, None], [49, None], [60, 'vnf1'], [60, 'vnf1'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]","[[44, 'src'], [45, None], [46, None], [47, None], [48, None], [49, None], [60, 'vnf1'], [60, 'vnf1'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]",0,207.0504857611432,5,3,14,229.0504857611432
35,52,True,False,8,9,"['1', '1', '2', '1', '2']","[[44, 'src'], [54, 'vnf1'], [54, 'vnf1'], [43, 'vnf2'], [54, 'vnf1'], [43, None], [32, 'vnf2'], [21, None], [10, None], [0, None], [55, 'dst']]","[[44, 'src'], [54, 'vnf1'], [54, 'vnf1'], [43, 'vnf2'], [54, 'vnf1'], [43, None], [32, 'vnf2'], [21, None], [10, None], [0, None], [55, 'dst']]",0,157.69880410110977,5,5,9,176.69880410110977
35,53,True,False,12,3,"['2', '2', '1', '2', '2']","[[34, 'src'], [23, None], [22, None], [32, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [43, 'vnf2'], [32, None], [21, None], [10, None], [0, 'vnf2'], [10, None], [65, None], [54, None], [53, None], [52, None], [51, 'dst']]","[[34, 'src'], [23, None], [22, None], [32, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [43, 'vnf2'], [32, None], [21, None], [10, None], [0, 'vnf2'], [10, None], [65, None], [54, None], [53, None], [52, None], [51, 'dst']]",0,245.77858136059393,5,1,16,267.77858136059393
