gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
101,True,False,7,13,"['2', '2', '1', '1', '1']","[[33, 'src'], [34, 'vnf2'], [23, 'vnf2'], [24, None], [25, None], [26, None], [27, 'vnf1'], [27, 'vnf1'], [27, 'vnf1'], [26, None], [25, None], [24, None], [23, None], [34, None], [45, 'dst']]","[[33, 'src'], [34, 'vnf2'], [23, 'vnf2'], [24, None], [25, None], [26, None], [27, 'vnf1'], [27, 'vnf1'], [27, 'vnf1'], [26, None], [25, None], [24, None], [23, None], [34, None], [45, 'dst']]",0,152.34212658109521,5,2,12,171.34212658109521
102,True,False,11,3,"['1', '1', '1', '2', '2']","[[23, 'src'], [22, None], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, 'dst']]","[[23, 'src'], [22, None], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, 'dst']]",0,97.44583318692405,5,3,7,112.44583318692405
103,True,False,2,8,"['2', '1', '1', '2', '1']","[[40, 'src'], [41, None], [42, None], [43, None], [33, None], [34, 'vnf2'], [33, 'vnf1'], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [44, 'dst']]","[[40, 'src'], [41, None], [42, None], [43, None], [33, None], [34, 'vnf2'], [33, 'vnf1'], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [44, 'dst']]",0,147.47818970220976,5,3,9,164.47818970220976
104,True,False,6,2,"['1', '2', '2', '2', '2']","[[22, 'src'], [33, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [43, 'vnf2'], [43, ('dst', 'vnf2')]]","[[22, 'src'], [33, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [43, 'vnf2'], [43, ('dst', 'vnf2')]]",0,43.506891791177566,5,2,2,52.506891791177566
105,True,False,7,3,"['1', '2', '1', '1', '2']","[[33, ('src', 'vnf1')], [34, 'vnf2'], [23, None], [24, None], [25, None], [26, None], [27, 'vnf1'], [27, 'vnf1'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [31, None], [30, None], [29, None], [40, None], [51, 'dst']]","[[33, ('src', 'vnf1')], [34, 'vnf2'], [23, None], [24, None], [25, None], [26, None], [27, 'vnf1'], [27, 'vnf1'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [31, None], [30, None], [29, None], [40, None], [51, 'dst']]",0,184.47319941623272,5,2,16,207.47319941623272
106,True,False,1,3,"['1', '1', '2', '1', '2']","[[29, 'src'], [28, None], [27, 'vnf1'], [27, 'vnf1'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [31, None], [30, None], [29, None], [28, None], [27, 'vnf1'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [31, None], [30, None], [29, None], [40, None], [51, 'dst']]","[[29, 'src'], [28, None], [27, 'vnf1'], [27, 'vnf1'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [31, None], [30, None], [29, None], [28, None], [27, 'vnf1'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [31, None], [30, None], [29, None], [40, None], [51, 'dst']]",0,270.41532823155336,5,1,22,298.41532823155336
107,True,False,10,14,"['2', '2', '1', '2', '2']","[[1, 'src'], [12, None], [23, None], [34, 'vnf2'], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [45, None], [56, 'dst']]","[[1, 'src'], [12, None], [23, None], [34, 'vnf2'], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [45, None], [56, 'dst']]",0,118.08927082576086,5,1,7,131.08927082576088
108,True,False,6,8,"['2', '2', '2', '2', '1']","[[22, 'src'], [32, None], [43, 'vnf2'], [42, None], [41, None], [40, None], [39, None], [38, None], [49, 'vnf2'], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, None], [47, None], [46, None], [45, None], [44, 'dst']]","[[22, 'src'], [32, None], [43, 'vnf2'], [42, None], [41, None], [40, None], [39, None], [38, None], [49, 'vnf2'], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, None], [47, None], [46, None], [45, None], [44, 'dst']]",0,225.57870781884384,5,2,15,247.57870781884384
109,True,False,2,3,"['1', '2', '2', '1', '1']","[[40, 'src'], [51, None], [62, 'vnf1'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [50, None], [51, None], [62, 'vnf1'], [62, 'vnf1'], [51, 'dst']]","[[40, 'src'], [51, None], [62, 'vnf1'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [50, None], [51, None], [62, 'vnf1'], [62, 'vnf1'], [51, 'dst']]",0,120.21010910372374,5,0,9,134.21010910372374
110,True,False,3,9,"['2', '2', '1', '1', '2']","[[51, 'src'], [50, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [60, 'vnf1'], [49, None], [48, 'vnf2'], [47, None], [46, None], [45, None], [44, None], [55, 'dst']]","[[51, 'src'], [50, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [60, 'vnf1'], [49, None], [48, 'vnf2'], [47, None], [46, None], [45, None], [44, None], [55, 'dst']]",0,167.11011134949905,5,0,10,182.11011134949905
