gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
69,True,False,11,14,"['1', '1', '2', '2', '2']","[[23, 'src'], [22, None], [33, 'vnf1'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [45, None], [56, 'dst']]","[[23, 'src'], [22, None], [33, 'vnf1'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [45, None], [56, 'dst']]",5,94.67334479019347,5,23,5,127.67334479019347
70,True,False,1,9,"['1', '2', '2', '1', '1']","[[29, 'src'], [28, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [60, ('dst', 'vnf1')]]","[[29, 'src'], [28, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [60, ('dst', 'vnf1')]]",5,102.44883739002282,5,0,5,112.44883739002282
71,True,False,14,1,"['2', '1', '2', '2', '2']","[[56, 'src'], [45, None], [34, 'vnf2'], [33, 'vnf1'], [22, None], [32, 'vnf2'], [32, 'vnf2'], [32, ('dst', 'vnf2')]]","[[56, 'src'], [45, None], [34, 'vnf2'], [33, 'vnf1'], [22, None], [32, 'vnf2'], [32, 'vnf2'], [32, ('dst', 'vnf2')]]",5,94.67334479019345,5,18,5,122.67334479019345
72,True,False,2,8,"['1', '2', '2', '2', '2']","[[40, 'src'], [29, None], [28, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [49, 'vnf2'], [49, 'vnf2'], [49, ('dst', 'vnf2')]]","[[40, 'src'], [29, None], [28, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [49, 'vnf2'], [49, 'vnf2'], [49, ('dst', 'vnf2')]]",5,89.82237869653373,5,1,5,100.82237869653373
73,True,False,1,13,"['1', '2', '2', '1', '2']","[[29, 'src'], [28, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, ('dst', 'vnf2')]]","[[29, 'src'], [28, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, ('dst', 'vnf2')]]",7,141.35735943927313,4,1,7,153.35735943927313
74,True,False,4,0,"['2', '2', '1', '2', '1']","[[62, 'src'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [49, 'vnf2'], [60, None], [5, None], [6, None], [7, ('dst', 'vnf1')]]","[[62, 'src'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [49, 'vnf2'], [60, None], [5, None], [6, None], [7, ('dst', 'vnf1')]]",9,170.71594387768008,4,2,9,185.71594387768008
75,True,False,8,14,"['1', '1', '1', '1', '1']","[[44, 'src'], [45, None], [46, None], [57, 'vnf1'], [57, 'vnf1'], [57, 'vnf1'], [57, 'vnf1'], [57, ('dst', 'vnf1')]]","[[44, 'src'], [45, None], [46, None], [57, 'vnf1'], [57, 'vnf1'], [57, 'vnf1'], [57, 'vnf1'], [57, ('dst', 'vnf1')]]",3,36.661132950134345,5,0,3,44.661132950134345
76,True,False,12,8,"['1', '2', '2', '2', '2']","[[34, 'src'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [33, None], [44, 'dst']]","[[34, 'src'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [33, None], [44, 'dst']]",4,82.81433847829298,5,19,4,110.81433847829298
77,True,False,3,14,"['1', '2', '2', '2', '1']","[[54, ('src', 'vnf1')], [43, 'vnf2'], [43, 'vnf2'], [43, 'vnf2'], [33, 'vnf1'], [34, None], [45, None], [56, 'dst']]","[[54, ('src', 'vnf1')], [43, 'vnf2'], [43, 'vnf2'], [43, 'vnf2'], [33, 'vnf1'], [34, None], [45, None], [56, 'dst']]",5,86.57654117030269,5,11,5,107.57654117030269
78,True,False,11,8,"['1', '2', '1', '2', '1']","[[23, 'src'], [22, None], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [44, 'dst']]","[[23, 'src'], [22, None], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [44, 'dst']]",7,145.97495361302828,5,42,7,199.97495361302828
